Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SOPHIA,119,1
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CHLOE,106,2
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EMILY,93,3
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,OLIVIA,89,4
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,EMMA,75,5
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ISABELLA,67,6
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TIFFANY,54,7
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ASHLEY,52,8
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,FIONA,48,9
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELA,47,10
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,VIVIAN,44,11
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MICHELLE,42,12
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JOANNA,38,13
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SARAH,38,13
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MIA,36,14
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,IVY,35,15
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,GRACE,33,16
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,NICOLE,33,16
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,VICKY,32,17
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JASMINE,31,18
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANNA,30,19
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ELAINE,28,20
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALICE,27,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CATHERINE,27,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,CLAIRE,27,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JENNY,27,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,MAYA,27,21
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ALYSSA,26,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ANGELINA,26,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,IRIS,26,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,JESSICA,26,22
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,SELINA,26,22
